id;respid;extrtime;origin;destination;company;depdate;arrdate;duration;flighttype;price;stopover;stopovertime
1;69;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T14:45:00;2016-03-16T07:55:00;17,166666666666668;aller simple;107;1 escale;15h 20min à BOD
1;70;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T13:45:00;2016-03-16T07:55:00;18,166666666666668;aller simple;107;1 escale;16h 20min à BOD
1;71;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T09:30:00;2016-03-15T15:35:00;6,083333333333333;aller simple;107;1 escale;4h 15min à BOD
1;72;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T21:25:00;2016-03-16T15:35:00;18,166666666666668;aller simple;107;1 escale;16h 20min à BOD
1;73;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:55:00;2016-03-16T15:35:00;18,666666666666668;aller simple;107;1 escale;16h 50min à BOD
1;74;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T12:45:00;2016-03-16T07:55:00;19,166666666666668;aller simple;107;1 escale;17h 20min à BOD
1;75;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T11:05:00;2016-03-16T07:55:00;20,833333333333332;aller simple;107;1 escale;19h 00min à BOD
1;76;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T09:30:00;2016-03-16T07:55:00;22,416666666666668;aller simple;107;1 escale;20h 35min à BOD
1;77;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:05:00;2016-03-16T15:35:00;23,5;aller simple;107;1 escale;21h 40min à BOD
1;78;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T21:25:00;2016-03-16T07:55:00;10,5;aller simple;107;1 escale;8h 40min à BOD
1;79;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:55:00;2016-03-16T07:55:00;11,0;aller simple;107;1 escale;9h 10min à BOD
1;80;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T16:35:00;2016-03-16T07:55:00;15,333333333333334;aller simple;108;1 escale;13h 20min à BOD
1;81;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T09:55:00;2016-03-15T15:35:00;5,666666666666667;aller simple;108;1 escale;3h 40min à BOD
1;82;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T09:55:00;2016-03-16T07:55:00;22,0;aller simple;108;1 escale;20h 00min à BOD
1;83;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T16:35:00;2016-03-16T15:35:00;23,0;aller simple;108;1 escale;21h 00min à BOD
1;84;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T13:20:00;2016-03-15T20:05:00;6,75;aller simple;109;1 escale;4h 25min à LYS
1;85;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T13:20:00;2016-03-15T21:10:00;7,833333333333333;aller simple;109;1 escale;5h 30min à LYS
1;86;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T16:20:00;2016-03-15T20:05:00;3,75;aller simple;109;1 escale;1h 30min à LYS
1;87;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T16:20:00;2016-03-15T21:10:00;4,833333333333333;aller simple;109;1 escale;2h 35min à LYS
1;88;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:55:00;2016-03-15T21:30:00;4,583333333333333;aller simple;108;1 escale;1h 55min à SXB
1;89;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:55:00;2016-03-16T07:55:00;15,0;aller simple;108;1 escale;12h 20min à SXB
1;90;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:20:00;2016-03-15T16:15:00;7,916666666666667;aller simple;108;1 escale;5h 15min à SXB
1;91;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:55:00;2016-03-16T16:15:00;23,333333333333332;aller simple;108;1 escale;20h 40min à SXB
1;92;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:20:00;2016-03-16T07:55:00;23,583333333333332;aller simple;108;1 escale;20h 55min à SXB
1;93;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:20:00;2016-03-15T21:30:00;13,166666666666666;aller simple;108;1 escale;10h 30min à SXB
1;94;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:20:00;2016-03-16T16:15:00;19,916666666666668;aller simple;108;1 escale;17h 30min à SXB
1;95;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:20:00;2016-03-16T07:55:00;11,583333333333334;aller simple;108;1 escale;9h 10min à SXB
1;96;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:05:00;2016-03-15T21:55:00;13,833333333333334;aller simple;111;1 escale;11h 40min à TLS
1;97;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T21:10:00;2016-03-16T15:35:00;18,416666666666668;aller simple;112;1 escale;16h 25min à BOD
1;98;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T21:10:00;2016-03-16T07:55:00;10,75;aller simple;112;1 escale;8h 45min à BOD
1;99;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T18:35:00;2016-03-15T22:30:00;3,9166666666666665;aller simple;112;1 escale;1h 15min à MRS
1;100;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T18:35:00;2016-03-16T09:55:00;15,333333333333334;aller simple;112;1 escale;12h 40min à MRS
1;101;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T15:45:00;2016-03-15T22:30:00;6,75;aller simple;112;1 escale;4h 05min à MRS
1;102;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T15:45:00;2016-03-16T09:55:00;18,166666666666668;aller simple;112;1 escale;15h 30min à MRS
1;103;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T09:00:00;2016-03-15T21:05:00;12,083333333333334;aller simple;112;1 escale;9h 35min à MPL
1;104;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:35:00;2016-03-16T16:25:00;19,833333333333332;aller simple;112;1 escale;17h 40min à LYS
1;105;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:35:00;2016-03-16T20:05:00;23,5;aller simple;112;1 escale;21h 20min à LYS
1;106;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:15:00;2016-03-16T10:10:00;13,916666666666666;aller simple;113;1 escale;11h 25min à MPL
1;107;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T07:00:00;2016-03-15T10:10:00;3,1666666666666665;aller simple;113;1 escale;40min à MPL
1;108;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T12:55:00;2016-03-15T17:30:00;4,583333333333333;aller simple;113;1 escale;2h 05min à MPL
1;109;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T11:35:00;2016-03-15T17:30:00;5,916666666666667;aller simple;113;1 escale;3h 25min à MPL
1;110;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:45:00;2016-03-16T10:10:00;17,416666666666668;aller simple;113;1 escale;14h 55min à MPL
1;111;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T14:50:00;2016-03-16T10:10:00;19,333333333333332;aller simple;113;1 escale;16h 50min à MPL
1;112;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T19:20:00;2016-03-16T16:25:00;21,083333333333332;aller simple;113;1 escale;18h 45min à LYS
1;113;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T12:55:00;2016-03-16T10:10:00;21,25;aller simple;113;1 escale;18h 45min à MPL
1;114;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T20:15:00;2016-03-16T17:30:00;21,25;aller simple;113;1 escale;18h 45min à MPL
